,Fig_Name,Label
2,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_10-01-19_11-01-19_1d_Oct-15-2022.png,1.0
3,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_11-01-19_12-02-19_1d_Oct-15-2022.png,1.0
4,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_12-02-19_01-02-20_1d_Oct-15-2022.png,1.0
5,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_01-02-20_02-02-20_1d_Oct-15-2022.png,-1.0
6,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_02-02-20_03-04-20_1d_Oct-15-2022.png,-1.0
7,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_03-04-20_04-04-20_1d_Oct-15-2022.png,1.0
8,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_04-04-20_05-05-20_1d_Oct-15-2022.png,-1.0
9,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_05-05-20_06-05-20_1d_Oct-15-2022.png,1.0
10,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_06-05-20_07-06-20_1d_Oct-15-2022.png,1.0
11,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_07-06-20_08-06-20_1d_Oct-15-2022.png,1.0
12,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_08-06-20_09-06-20_1d_Oct-15-2022.png,1.0
13,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_09-06-20_10-07-20_1d_Oct-15-2022.png,1.0
14,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_10-07-20_11-07-20_1d_Oct-15-2022.png,1.0
15,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_11-07-20_12-08-20_1d_Oct-15-2022.png,1.0
16,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_12-08-20_01-08-21_1d_Oct-15-2022.png,1.0
17,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_01-08-21_02-08-21_1d_Oct-15-2022.png,1.0
18,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_02-08-21_03-11-21_1d_Oct-15-2022.png,1.0
19,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_03-11-21_04-11-21_1d_Oct-15-2022.png,1.0
20,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_04-11-21_05-12-21_1d_Oct-15-2022.png,-1.0
21,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_05-12-21_06-12-21_1d_Oct-15-2022.png,1.0
22,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_06-12-21_07-13-21_1d_Oct-15-2022.png,1.0
23,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_07-13-21_08-13-21_1d_Oct-15-2022.png,1.0
24,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_08-13-21_09-13-21_1d_Oct-15-2022.png,1.0
25,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_09-13-21_10-14-21_1d_Oct-15-2022.png,-1.0
26,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_10-14-21_11-14-21_1d_Oct-15-2022.png,1.0
27,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_11-14-21_12-15-21_1d_Oct-15-2022.png,1.0
28,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_12-15-21_01-15-22_1d_Oct-15-2022.png,-1.0
29,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_01-15-22_02-15-22_1d_Oct-15-2022.png,-1.0
30,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_02-15-22_03-18-22_1d_Oct-15-2022.png,1.0
31,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_03-18-22_04-18-22_1d_Oct-15-2022.png,-1.0
32,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_04-18-22_05-19-22_1d_Oct-15-2022.png,-1.0
33,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_05-19-22_06-19-22_1d_Oct-15-2022.png,-1.0
34,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_06-19-22_07-20-22_1d_Oct-15-2022.png,1.0
35,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_07-20-22_08-20-22_1d_Oct-15-2022.png,1.0
36,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/SPY_08-20-22_09-20-22_1d_Oct-15-2022.png,-1.0
37,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_10-01-19_11-01-19_1d_Oct-15-2022.png,1.0
38,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_11-01-19_12-02-19_1d_Oct-15-2022.png,1.0
39,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_12-02-19_01-02-20_1d_Oct-15-2022.png,-1.0
40,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_01-02-20_02-02-20_1d_Oct-15-2022.png,-1.0
41,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_02-02-20_03-04-20_1d_Oct-15-2022.png,-1.0
42,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_03-04-20_04-04-20_1d_Oct-15-2022.png,1.0
43,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_04-04-20_05-05-20_1d_Oct-15-2022.png,-1.0
44,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_05-05-20_06-05-20_1d_Oct-15-2022.png,1.0
45,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_06-05-20_07-06-20_1d_Oct-15-2022.png,-1.0
46,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_07-06-20_08-06-20_1d_Oct-15-2022.png,1.0
47,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_08-06-20_09-06-20_1d_Oct-15-2022.png,1.0
48,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_09-06-20_10-07-20_1d_Oct-15-2022.png,1.0
49,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_10-07-20_11-07-20_1d_Oct-15-2022.png,1.0
50,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_11-07-20_12-08-20_1d_Oct-15-2022.png,1.0
51,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_12-08-20_01-08-21_1d_Oct-15-2022.png,1.0
52,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_01-08-21_02-08-21_1d_Oct-15-2022.png,1.0
53,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_02-08-21_03-11-21_1d_Oct-15-2022.png,1.0
54,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_03-11-21_04-11-21_1d_Oct-15-2022.png,1.0
55,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_04-11-21_05-12-21_1d_Oct-15-2022.png,1.0
56,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_05-12-21_06-12-21_1d_Oct-15-2022.png,-1.0
57,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_06-12-21_07-13-21_1d_Oct-15-2022.png,-1.0
58,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_07-13-21_08-13-21_1d_Oct-15-2022.png,1.0
59,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_08-13-21_09-13-21_1d_Oct-15-2022.png,-1.0
60,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_09-13-21_10-14-21_1d_Oct-15-2022.png,-1.0
61,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_10-14-21_11-14-21_1d_Oct-15-2022.png,1.0
62,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_11-14-21_12-15-21_1d_Oct-15-2022.png,1.0
63,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_12-15-21_01-15-22_1d_Oct-15-2022.png,1.0
64,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_01-15-22_02-15-22_1d_Oct-15-2022.png,1.0
65,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_02-15-22_03-18-22_1d_Oct-15-2022.png,1.0
66,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_03-18-22_04-18-22_1d_Oct-15-2022.png,-1.0
67,/Users/lucasmolter/Documents/Cornell/Courses/Projectz/ProjectZ/dataset/XLF_04-18-22_05-19-22_1d_Oct-15-2022.png,-1.0
